,S&P 500 (Baseline),TFDMGA Gross (Daily L-S),TFDMGA (2:1 Stop-Loss Applied)
Annual Return,0.24405506845051184,-0.06803484342745736,-0.03146888877708315
Annualised Volatility,0.11258852832908745,0.10339421040647523,0.08721701548954508
Sharpe Ratio,2.167672604593942,-0.6580140528177636,-0.3608113462774406
Sortino Ratio,3.3393857881278044,-0.9302395696958949,-0.5620157007048846
Max Drawdown,-0.05643474411914894,-0.0924745418245453,-0.0734633386014116
Hit Ratio,0.5800865800865801,0.4588744588744589,0.47186147186147187
