Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.5370799918687476,0.5180293952845036,0.03708574820700758,2.885526056375943
Elastic Net,0.5369103664044652,0.5186140107876541,0.03743429286747419,2.981057526203117
Random Forest,0.5365859240481791,0.5330432829390385,0.008387938927870106,0.9192455376665483
XGBoost,0.5423235726892233,0.5468930830408858,0.01781817994674081,1.8002177150074343
LASSO Regressor,0.5351966107216756,0.5033941846622754,0.030884317849910962,2.71014751374459
Elastic Net Regressor,0.5364378383253928,0.5035723390981042,0.030866702404826564,2.7848497547203133
Random Forest Regressor,0.5337871038875195,0.523286015045478,0.01919345963115912,1.784679593101691
XGBoost Regressor,0.536701700158721,0.5116912727977516,0.00991786210850781,0.9327723094886557
