,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
35,oil_wti_backup_rank,0.7014075,0.077805184,1.0,1.0
36,oil_brent_backup_rank,0.082964025,0.0020089643,2.0,62.0
49,fed_funds_rank,0.05838154,0.019885663,3.0,3.0
37,gold_backup_rank,0.014487872,0.00026441668,4.0,69.0
54,capital_expend_rank,0.013428034,0.009634936,5.0,7.0
23,sales_growth_rank,0.012105052,0.018293006,6.0,4.0
0,mom_1d_rank,0.010882918,0.02561172,7.0,2.0
12,vol_126d_rank,0.010118581,0.008558264,8.0,9.0
1,mom_5d_rank,0.0071296967,0.008016724,9.0,12.0
38,silver_backup_rank,0.005754935,0.0,10.0,75.0
19,pb_ratio_rank,0.0057408703,0.004643968,11.0,23.0
60,ebitda_rank,0.005230015,0.0010960822,12.0,68.0
11,vol_63d_rank,0.005040293,0.0060254983,13.0,18.0
4,mom_126d_rank,0.004966245,0.008164299,14.0,11.0
25,oper_margin_rank,0.0045399303,0.002200288,15.0,55.0
14,beta_252d_rank,0.0045398935,0.004278598,16.0,25.0
63,ev_to_t12m_ebitda_rank,0.0042992523,0.00982234,17.0,6.0
5,mom_252d_rank,0.0041856514,0.007186961,18.0,14.0
73,tot_common_eqy_rank,0.0040965066,0.0034067337,19.0,40.0
51,altman_z_score_rank,0.004023945,0.0030718658,20.0,45.0
64,free_cash_flow_per_sh_rank,0.003666184,0.006556614,21.0,17.0
77,px_to_sales_ratio_rank,0.0034803879,0.0032362791,22.0,41.0
52,total_assets_rank,0.0031045652,0.0053667715,23.0,20.0
28,debt_to_assets_rank,0.0029488227,0.0038072064,24.0,32.0
7,macd_hist_rank,0.0028951091,0.00525011,25.0,21.0
24,net_profit_margin_rank,0.0028596444,0.0037587814,26.0,33.0
62,eqy_sh_out_rank,0.0027618716,0.0020653042,27.0,61.0
16,book_to_market_rank,0.002574028,0.0037541352,28.0,34.0
10,vol_21d_rank,0.0024681306,0.006706173,29.0,16.0
3,mom_63d_rank,0.002407266,0.007584144,30.0,13.0
57,cf_free_cash_flow_rank,0.002312849,0.003188845,31.0,42.0
72,tax_rate_reported_rank,0.002241814,0.003511393,32.0,39.0
13,vol_ratio_rank,0.0022032892,0.0051942025,33.0,22.0
31,pt_upside_rank,0.0021971685,0.011547284,34.0,5.0
29,piotroski_f_score_rank,0.0021850977,0.00833924,35.0,10.0
22,return_on_inv_capital_rank,0.0021367834,0.00212967,36.0,59.0
68,net_income_rank,0.0020677068,0.0024073997,37.0,53.0
79,beta_mkt_5f_252d_rank,0.002040047,0.0030369186,38.0,46.0
2,mom_21d_rank,0.0019751794,0.0042504035,39.0,27.0
75,eps_trailing_rank,0.0018074313,0.0031045023,40.0,43.0
56,cf_dvd_paid_rank,0.0017593018,0.0040952703,41.0,29.0
8,bb_pct_b_rank,0.0016993034,0.0039727753,42.0,30.0
76,ebitda_to_revenue_rank,0.0016987291,0.0014428698,43.0,67.0
32,best_analyst_rating_rank,0.0016717915,0.0036756434,44.0,36.0
30,buy_ratio_rank,0.0015134799,0.0037494486,45.0,35.0
9,vol_5d_rank,0.0014501105,0.0058214786,46.0,19.0
71,short_term_borrow_rank,0.0013853321,0.0070090466,47.0,15.0
27,debt_to_equity_fundamentals_rank,0.0013592797,0.0025453456,48.0,52.0
15,earnings_yield_rank,0.0013158649,0.0042586704,49.0,26.0
6,rsi_14_rank,0.0012695421,0.003888073,50.0,31.0
74,tot_return_index_gross_dvds_rank,0.0011609986,0.002123029,51.0,60.0
65,is_eps_rank,0.0011410638,0.0017214656,52.0,66.0
18,pe_ratio_rank,0.0010435788,0.0028807134,53.0,48.0
70,sales_rev_turn_rank,0.0010371683,0.001880507,54.0,64.0
26,asset_turnover_rank,0.00096654607,0.0017806388,55.0,65.0
55,cf_cash_from_oper_rank,0.0009648032,0.0026695966,56.0,51.0
69,px_volume_rank,0.00091296714,0.0042160936,57.0,28.0
50,acct_rcv_rank,0.00090534106,0.002193178,58.0,56.0
20,return_on_equity_rank,0.0008172461,0.003621781,59.0,37.0
34,analyst_count_rank,0.0007951673,0.002936171,60.0,47.0
21,return_on_assets_rank,0.00078162155,0.0021905263,61.0,57.0
58,cur_mkt_cap_rank,0.0007662932,0.0030900983,62.0,44.0
67,long_term_borrow_rank,0.00068670645,0.0035615065,63.0,38.0
17,quality_score_rank,0.0006004489,0.0044522192,64.0,24.0
53,bs_tot_liab2_rank,0.0005972334,0.0027408819,65.0,50.0
59,ebit_rank,0.000542827,0.0022509813,66.0,54.0
78,px_to_free_cash_flow_rank,0.00053106435,0.009050537,67.0,8.0
61,eqy_float_rank,0.00047528488,0.0027964471,68.0,49.0
33,price_target_rank,0.00031324683,0.0021689837,69.0,58.0
66,is_oper_inc_rank,0.00010617744,0.0018965165,70.0,63.0
48,yield_30y_backup_rank,0.0,0.0,75.5,75.0
41,usdjpy_backup_rank,0.0,0.0,75.5,75.0
40,eurusd_backup_rank,0.0,0.0,75.5,75.0
47,10y_yield_rank,0.0,0.0,75.5,75.0
42,vix_rank,0.0,0.0,75.5,75.0
43,vxn_backup_rank,0.0,0.0,75.5,75.0
44,vvix_backup_rank,0.0,0.0,75.5,75.0
45,yield_3m_backup_rank,0.0,0.0,75.5,75.0
46,yield_5y_backup_rank,0.0,0.0,75.5,75.0
39,dollar_index_backup_rank,0.0,0.0,75.5,75.0
