,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,4.107465930989519,9.669049294371538,5.573888397139713,1.3726137601893706,-3.054914803972811,-5.681046983426535,12.352036029905953,6.443871215874891,-7.196536994387602
Elastic Net,-4.107465930989519,0.0,9.12969242006561,5.061911311181385,0.2319554583587721,-4.154854473955883,-6.71199934648752,11.755849967045144,5.596102532555666,-8.171781231941385
Random Forest,-9.669049294371538,-9.12969242006561,0.0,-3.974114664463555,-8.908459153033274,-11.114540151230853,-12.121953206648708,2.333481043715781,-5.701344670529516,-12.569759280147919
XGBoost,-5.573888397139713,-5.061911311181385,3.974114664463555,0.0,-4.8849791836364025,-6.880380334602173,-7.891397843636895,5.774406934283293,-1.4382509909899723,-8.157895667261002
Transformer,-1.3726137601893706,-0.2319554583587721,8.908459153033274,4.8849791836364025,0.0,-4.646498223686998,-6.927898952831536,11.52341071995321,5.126464439784335,-8.916283024200434
LASSO Regressor,3.054914803972811,4.154854473955883,11.114540151230853,6.880380334602173,4.646498223686998,0.0,-3.539902458501195,14.132735631073531,8.12110588223308,-4.668991614917903
Elastic Net Regressor,5.681046983426535,6.71199934648752,12.121953206648708,7.891397843636895,6.927898952831536,3.539902458501195,0.0,15.121371600223567,9.714900565496773,-1.1881687698972716
Random Forest Regressor,-12.352036029905953,-11.755849967045144,-2.333481043715781,-5.774406934283293,-11.52341071995321,-14.132735631073531,-15.121371600223567,0.0,-8.124487414789236,-15.743646790047885
XGBoost Regressor,-6.443871215874891,-5.596102532555666,5.701344670529516,1.4382509909899723,-5.126464439784335,-8.12110588223308,-9.714900565496773,8.124487414789236,0.0,-10.960052186545607
Transformer Regressor,7.196536994387602,8.171781231941385,12.569759280147919,8.157895667261002,8.916283024200434,4.668991614917903,1.1881687698972716,15.743646790047885,10.960052186545607,0.0
