,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
35,oil_wti_backup_rank,0.58486307,0.02764926,1.0,2.0
36,oil_brent_backup_rank,0.08641251,0.012856178,2.0,7.0
37,gold_backup_rank,0.03798891,0.0015527807,3.0,39.0
0,mom_1d_rank,0.011909215,0.026501967,4.0,4.0
19,pb_ratio_rank,0.009329052,0.003874142,5.0,31.0
23,sales_growth_rank,0.008389204,0.023708247,6.0,5.0
22,return_on_inv_capital_rank,0.007187376,0.0100144725,7.0,8.0
31,pt_upside_rank,0.006234287,0.016092282,8.0,6.0
29,piotroski_f_score_rank,0.00609475,0.008994871,9.0,9.0
34,analyst_count_rank,0.005711604,0.004867467,10.0,24.0
27,debt_to_equity_fundamentals_rank,0.0049832845,0.00415433,11.0,28.0
2,mom_21d_rank,0.0048328745,0.005072329,12.0,20.0
7,macd_hist_rank,0.0044958303,0.0034392574,13.0,36.0
16,book_to_market_rank,0.0041848416,0.0054425807,14.0,18.0
26,asset_turnover_rank,0.0036512408,0.0037044776,15.0,32.0
4,mom_126d_rank,0.003303055,0.00801422,16.0,10.0
21,return_on_assets_rank,0.0032333147,0.0044665043,17.0,25.0
17,quality_score_rank,0.003034874,0.0058468073,18.0,16.0
24,net_profit_margin_rank,0.002884188,0.0044458676,19.0,26.0
1,mom_5d_rank,0.0027199576,0.026614768,20.0,3.0
25,oper_margin_rank,0.0027063824,0.0050284658,21.0,21.0
33,price_target_rank,0.0021338605,0.0056481534,22.0,17.0
49,fed_funds_rank,0.0015565103,0.048242774,23.0,1.0
5,mom_252d_rank,0.0014655745,0.0077361506,24.0,11.0
10,vol_21d_rank,0.0014304037,0.0034278743,25.0,37.0
28,debt_to_assets_rank,0.001395819,0.0036903892,26.0,33.0
30,buy_ratio_rank,0.0012948308,0.004012605,27.0,30.0
18,pe_ratio_rank,0.0012511102,0.003490845,28.0,35.0
6,rsi_14_rank,0.0012206802,0.0043612733,29.0,27.0
11,vol_63d_rank,0.0011524053,0.006226079,30.0,14.0
8,bb_pct_b_rank,0.001077726,0.003651839,31.0,34.0
14,beta_252d_rank,0.0010765491,0.005939422,32.0,15.0
15,earnings_yield_rank,0.0010627571,0.004073222,33.0,29.0
32,best_analyst_rating_rank,0.0010285757,0.004904668,34.0,23.0
9,vol_5d_rank,0.0009802815,0.0063686348,35.0,12.0
13,vol_ratio_rank,0.00080789946,0.004957054,36.0,22.0
3,mom_63d_rank,0.0007961859,0.0063545355,37.0,13.0
12,vol_126d_rank,0.00070482126,0.005334687,38.0,19.0
20,return_on_equity_rank,0.00047023615,0.0023947216,39.0,38.0
38,silver_backup_rank,5.978703e-05,3.152057e-05,40.0,40.0
40,eurusd_backup_rank,0.0,0.0,45.5,45.5
41,usdjpy_backup_rank,0.0,0.0,45.5,45.5
42,vix_rank,0.0,0.0,45.5,45.5
43,vxn_backup_rank,0.0,0.0,45.5,45.5
44,vvix_backup_rank,0.0,0.0,45.5,45.5
45,yield_3m_backup_rank,0.0,0.0,45.5,45.5
46,yield_5y_backup_rank,0.0,0.0,45.5,45.5
39,dollar_index_backup_rank,0.0,0.0,45.5,45.5
47,10y_yield_rank,0.0,0.0,45.5,45.5
48,yield_30y_backup_rank,0.0,0.0,45.5,45.5
