,Coefficient,Std_Error,t_Statistic,p_Value
const,8.018640035955723e-05,6.535535581303225e-05,1.226929290828948,0.2198491683604269
beta_mkt_5f_252d,0.0003592748411925971,0.00021792502915036205,1.6486166944353497,0.09922618638541683
beta_smb_5f_252d,-0.00013751270890740563,0.00012682078057499798,-1.0843073846725362,0.2782285321392234
beta_hml_5f_252d,-2.5748889598279533e-05,0.00016791865731661347,-0.15334144525542248,0.8781290185452365
beta_rmw_5f_252d,0.00017526248485455636,9.466860763753626e-05,1.8513263184940358,0.06412262203027405
beta_cma_5f_252d,-0.00013405057221242494,9.08036813758092e-05,-1.4762680343061183,0.13987195184481668
