Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.5278359598933762,0.5078086300756581,0.018289148225408555,1.2048482460856669
Elastic Net,0.5278526895751776,0.5080333584084809,0.018890845925423245,1.2510286812783622
Random Forest,0.5223631233200611,0.5071859708011806,0.01664325504295209,1.6233981144587328
XGBoost,0.5235431235431235,0.5068993644787728,0.019079361322350465,1.6962003689244805
LASSO Regressor,0.47031373729938325,0.4908626791125168,0.0,0.0
Elastic Net Regressor,0.4952576928653484,0.5006762288140996,0.018692742323810897,1.3595779698199233
Random Forest Regressor,0.502038790555537,0.5027924439157837,0.0052857943174336435,0.4738088647193422
XGBoost Regressor,0.4996219091912872,0.5004298278052177,0.0069411122999904285,0.5983421291045679
