Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.24282655254831537,0.2603134945134295,0.9328235288078314,1.0209969856457413,-0.34360742328980626,109,-0.022558738476588625,-0.041847584630434774
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.149559604289936,0.34402675197061894,0.4347324835445033,0.5128494006430958,-0.4678151472683582,210,-0.028862866361225894,-0.053639219304636304
LASSO_Short,COVID_Pandemic_OOS (2020-2021),-0.08282448637626993,0.3133063348565269,-0.2643562455071262,-0.34801401442084473,-0.40663974887222804,511,-0.028078986357343506,-0.04852124967815727
LASSO_LS,COVID_Pandemic_OOS (2020-2021),-0.15209761070729882,0.24850632513125623,-0.6120472411596116,-0.8045263700658084,-0.4211645507329198,296,-0.028151452118798714,-0.038617521396045025
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.1471104163628653,0.3423283046439635,0.42973489006661775,0.5074835325401269,-0.4667079126995226,210,-0.02857450331594249,-0.05335903935311673
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),-0.0739062667757163,0.3130036313521637,-0.23611951866642586,-0.31338023216865224,-0.4041328264800581,511,-0.028497089695795664,-0.04843449653395066
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),-0.1625547834099342,0.24762222298313236,-0.6564628224866844,-0.8626307733352744,-0.4261656549728818,296,-0.027368963772046728,-0.03837010225467825
RF_Long,COVID_Pandemic_OOS (2020-2021),0.06646077622612777,0.32506474454375683,0.20445396599193952,0.247362371433261,-0.4342795051549256,248,-0.029807511963473636,-0.04942852148524889
RF_Short,COVID_Pandemic_OOS (2020-2021),-0.0350295208588417,0.38610837613239274,-0.09072458155331607,-0.11664837382422832,-0.4759334569008227,511,-0.03397528540034104,-0.061192548894983774
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.2739023480191511,0.2780705697317986,-0.985010201846719,-1.3049864285718307,-0.5612786374557878,457,-0.030531486010516654,-0.04373549267686891
XGB_Long,COVID_Pandemic_OOS (2020-2021),0.07216046782851772,0.34072176213070543,0.21178708215542744,0.26370276464909365,-0.44296679984464826,238,-0.030533456143448684,-0.05150072106999305
XGB_Short,COVID_Pandemic_OOS (2020-2021),-0.08612047542112118,0.32344981393150335,-0.2662560672839306,-0.3454084259825099,-0.4038261678124598,511,-0.031383296374923424,-0.05044709879180081
XGB_LS,COVID_Pandemic_OOS (2020-2021),-0.3366656229887306,0.22121798393855002,-1.5218727564312748,-2.046756751576532,-0.5408235565165093,517,-0.02310752741599368,-0.03520753452390028
LSTM_Long,COVID_Pandemic_OOS (2020-2021),0.2804254590882664,0.36785168192159545,0.7623329533886344,0.8878888555733608,-0.459403252448923,117,-0.030065592230822422,-0.056654512959959685
LSTM_Short,COVID_Pandemic_OOS (2020-2021),0.1543166313606711,0.25261144977601874,0.6108853399063977,0.7410989007133929,-0.33786169258188564,230,-0.021442103205076935,-0.03819713439070178
LSTM_LS,COVID_Pandemic_OOS (2020-2021),0.03799469392165813,0.24760451170213507,0.15344911795212052,0.21416778035170236,-0.30610566267230055,238,-0.02332640319192855,-0.035487150194897385
SP500,Post_COVID_OOS (2022-2024),0.093988659341408,0.18125082592081135,0.5185557575471228,0.7386100714353658,-0.26059596227246706,510,-0.01789373847658863,-0.02634873847658863
LASSO_Long,Post_COVID_OOS (2022-2024),-0.07597536555026992,0.22639630699846103,-0.3355857105513049,-0.4783170708762748,-0.4043528644668025,780,-0.023107690747685643,-0.03370398587391788
LASSO_Short,Post_COVID_OOS (2022-2024),-0.08653250233488538,0.23890273930801778,-0.36220807926073567,-0.5661489592456789,-0.41769018341645103,497,-0.024395005489305985,-0.03254751432807103
LASSO_LS,Post_COVID_OOS (2022-2024),-0.28345478786353373,0.2283316814223324,-1.2414168112713329,-1.7707655345053848,-0.6110747348255909,780,-0.025847656246344972,-0.03392785827409427
ElasticNet_Long,Post_COVID_OOS (2022-2024),-0.07479468677718513,0.22575211919829596,-0.3313133318207615,-0.4729329728190011,-0.40363484525835996,780,-0.0230342917084778,-0.03359394347582295
ElasticNet_Short,Post_COVID_OOS (2022-2024),-0.11096510359768466,0.23762161787513822,-0.46698235871785415,-0.7254233193611405,-0.4545124067199429,705,-0.024296593265921127,-0.03267831351576141
ElasticNet_LS,Post_COVID_OOS (2022-2024),-0.28768340184624297,0.22704160670684545,-1.2670955161874704,-1.8192024545174845,-0.619065899201275,780,-0.025809946037667973,-0.0335017940746183
RF_Long,Post_COVID_OOS (2022-2024),-0.14650491049928865,0.19968595360708255,-0.7336765949374836,-1.078309623697744,-0.4444072894084443,780,-0.02103665395050983,-0.029021496310471368
RF_Short,Post_COVID_OOS (2022-2024),-0.1503259303709123,0.2232908694920356,-0.6732291862756805,-1.037136447608076,-0.4831135382808687,721,-0.022691988114619036,-0.03028171024375882
RF_LS,Post_COVID_OOS (2022-2024),-0.32090185860319964,0.17706047283457685,-1.8123856412775436,-2.5286545264768625,-0.6389210504463401,780,-0.019379747187836124,-0.027466814924062256
XGB_Long,Post_COVID_OOS (2022-2024),-0.155694241334965,0.21150833168863079,-0.7361139870563976,-1.0344463207548047,-0.4774339597228183,780,-0.022757423825854533,-0.03186495528598525
XGB_Short,Post_COVID_OOS (2022-2024),-0.15866823994981324,0.2159820735852241,-0.7346361543621561,-1.124874381613708,-0.46269158631781804,771,-0.022649842500808377,-0.029740234432666567
XGB_LS,Post_COVID_OOS (2022-2024),-0.37422178224426106,0.1637444731447153,-2.2854009974036105,-3.193480899176572,-0.6917100022190298,780,-0.018281647225324108,-0.025329436458216142
LSTM_Long,Post_COVID_OOS (2022-2024),0.0031764538134594917,0.22918618590359083,0.01385970886917109,0.01986942089545827,-0.36081078112618864,754,-0.02401813774017495,-0.03351534812776473
LSTM_Short,Post_COVID_OOS (2022-2024),-0.02033132756662917,0.19881112353861946,-0.10226453733953055,-0.15558527636912797,-0.23748197278427538,703,-0.019816713883995946,-0.027540447375689482
LSTM_LS,Post_COVID_OOS (2022-2024),-0.05425977014873251,0.1834638039972411,-0.2957519083685219,-0.4292369384090836,-0.3516240864976153,780,-0.01972067468892171,-0.02617429889915056
