,Coefficient,Std_Error,t_Statistic,p_Value
const,4.6440139515224896e-05,8.284369576677604e-05,0.5605754195945641,0.5750870120908919
beta_mkt_252d,0.00036446830808112914,0.00022136324398004445,1.6464716613657207,0.09966668985212528
beta_smb_252d,-4.714948282610294e-05,0.00012527059783509826,-0.3763810793668346,0.7066336101157356
beta_hml_252d,-3.686013043054097e-05,0.00017003258857658114,-0.2167827399389353,0.8283776636475187
