,FM_Coeff,Annualized_Spread_%
beta_mkt_252d,0.00036446830808112914,9.184601363644454
beta_smb_252d,-4.714948282610294e-05,-1.1881669672177941
beta_hml_252d,-3.686013043054097e-05,-0.9288752868496324
