Horizon,Features,Model,Accuracy,Daily_IC,ICIR,Long_Return,Long_Sharpe,Long_MaxDD,Short_Return,Short_Sharpe,Short_MaxDD,Long_Return_TPSL,Long_Sharpe_TPSL,Short_Return_TPSL,Short_Sharpe_TPSL
1d,11,LASSO,0.5233324662972567,0.013684172084969843,0.9736070353514654,0.13193483154306956,0.4611678638374624,-0.4200475078523534,-0.012944780086890787,-0.05241052200624018,-0.403332452311273,0.5847467204513654,3.2069990369124723,0.3387995246969052,2.091039785040662
1d,11,Elastic Net,0.5234007782305633,0.013935143319071301,0.9946394417735196,0.12906895147731925,0.45190125839018863,-0.40910547615073617,-0.017458043275991115,-0.0705794369193913,-0.3993558423344624,0.5809906103970742,3.1794465199258783,0.3312467032788543,2.051952448967362
1d,11,Random Forest,0.5182248355915682,0.010732402485755903,1.2510204421241622,-0.032483779469797316,-0.13297969346324603,-0.5087850108089169,-0.07979755309258428,-0.28258936019820685,-0.5128107446445681,0.33841169583691416,2.189156363381093,0.37320128404273556,2.238502895285181
1d,11,XGBoost,0.519853812462724,0.015055771485648429,1.3060595426533168,0.015595717006941729,0.06923215020153312,-0.41568732557164667,-0.041091448102183604,-0.1300409392878696,-0.49044098940754177,0.355307291687484,2.3553827686400988,0.44455331050544566,2.499508351286439
1d,11,Transformer,0.5185808458593772,0.010929821680696929,0.6491567667439916,0.15104553898347042,0.5082614369507056,-0.43252394202523997,0.0418958808049799,0.15571508145383928,-0.5468120213182595,0.6198945243481226,3.1811955667070064,0.30867204146719907,2.050165083459717
1d,11,LASSO Regressor,0.47819667005598954,,0.0,0.1299250927494064,0.5657279901341635,-0.3861012191177298,0.07681502247483096,0.32257259177250885,-0.427487868111607,0.4528911588674315,2.9997442898642634,0.4014548598815191,2.657362119291668
1d,11,Elastic Net Regressor,0.493476210369226,0.013437888122232703,1.0980610712195435,0.15865520205373318,0.5932741507274043,-0.3933682651113779,0.03640196299995798,0.15995607952701474,-0.39487167593344674,0.5438715245479809,3.1976319600837115,0.3517795239973759,2.3477005432389695
1d,11,Random Forest Regressor,0.4997845546718794,0.0023246053958799894,0.2968010024557351,-0.015627495652878992,-0.04714969407177822,-0.568115850720212,-0.014771603489846415,-0.05409242501201527,-0.44150998224985744,0.5016161780157895,2.7427196203355577,0.46465158031002,2.882902204863882
1d,11,XGBoost Regressor,0.4987375429248542,0.00627053277879823,0.754081761199164,0.05740526855183836,0.19291459624720975,-0.4932500833340685,-0.03493520308933409,-0.1339366669553857,-0.406814632786154,0.48325205540255806,2.7118803217159493,0.42043935377454617,2.57409635461974
1d,11,Transformer Regressor,0.48722960954475353,-0.00579217284314033,-0.45843403598972715,0.012516256749295483,0.04645097509086034,-0.47574448750776877,0.023582977492072502,0.10115165141258403,-0.427487868111607,0.4691750550513112,2.748096878913653,0.3081287302224859,2.0658532529559936
