Model,Observations (Days),Mean IC,IC Volatility,ICIR,NW_t_Stat,p_Value
LASSO,1233,0.017949540694447465,0.2102511451869928,1.355236970046608,3.3121619159435047,0.0009257794769379694
Elastic Net,1233,0.017687132482190712,0.20554702579531872,1.3659867985731255,3.3413250370810155,0.0008337954911833723
Random Forest,1233,0.01146524045990313,0.1763356388692342,1.032151248822293,2.560198632343587,0.01046123519420998
XGBoost,1233,0.010565283138293741,0.17800086460598402,0.942235143973662,2.3347272539020283,0.019557673573202893
Transformer,1233,0.017231772764584548,0.18865767452402118,1.4499591018141715,3.419560584101288,0.0006272236384177125
LASSO Regressor,984,0.006554965791732149,0.21678828507251272,0.4799929848144131,1.093274250213602,0.27427340509312115
Elastic Net Regressor,984,0.008674392683166825,0.2126341415851478,0.6475992700820562,1.4842703504872927,0.13773721281027015
Random Forest Regressor,1233,0.012717837978963854,0.19255060428899035,1.0485005735816721,2.582907783149181,0.00979715060116151
XGBoost Regressor,1233,0.004833999296946735,0.2070293631501902,0.37065930502729416,0.9904934042141708,0.32193301146508435
Transformer Regressor,1233,0.005645972264927029,0.20996232574527487,0.42687196769636204,1.0196096845748932,0.30791361011163465
