Strategy,Alpha (Ann. %),Alpha t-stat,R2,Beta_mkt_rf,t_mkt_rf,Beta_smb,t_smb,Beta_hml,t_hml,Beta_rmw,t_rmw,Beta_cma,t_cma
LASSO_LS_net10bps,-17.311620326362952,-2.1542232586258656,0.5229272150245607,-0.098950307943017,-1.9988372272108268,-0.6088914410048816,-7.053669480113996,-0.8264889900976565,-9.749152686045223,0.032485914510927055,0.4605530377986704,0.32897067900515586,2.320872471110628
ElasticNet_LS_net10bps,-17.409930459310523,-2.1653880124794624,0.5229448775840682,-0.09892237261575003,-1.9979887389615678,-0.609687545459776,-7.065794520441813,-0.8260166969833119,-9.758007686573302,0.03130727925409382,0.4436120935189783,0.3290689382317898,2.3216739327504117
RF_LS_net10bps,-11.34780989014026,-1.3303068516919794,0.43814005850278037,-0.18314848976099696,-3.557550205528089,-0.3677639596482563,-3.832254452315162,-0.9234099316629772,-9.04577315369016,0.18336605839836165,1.825810301073256,0.4993210519795192,3.0954710375945536
XGB_LS_net10bps,-11.058555641407853,-1.6154717288516427,0.4334502711206226,-0.11012485322843078,-2.589631218277358,-0.26289086890743724,-3.9966111062817804,-0.7426073265281269,-9.814796589716153,0.3503223555108552,4.010800792047964,0.1618278201710347,1.35000121325535
LSTM_LS_net10bps,-2.7752436518621524,-0.45666199725939327,0.37515771546510446,-0.05434713388092662,-1.6165813435792817,-0.031050852408483917,-0.4815701086381598,-0.5997707729111075,-8.788871980556449,0.3666401334403576,4.6099829255591676,-0.05582527458396026,-0.6299312555350746
