Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.528652431464389,0.49325656915991006,0.0030058095591056046,0.49518233947640605
Elastic Net,0.528652431464389,0.49283432574448927,0.0030027847203615335,0.48474890536867304
Random Forest,0.5168722964595674,0.4971601628331421,0.00482916225288809,0.7698516683909664
XGBoost,0.5226427882628462,0.49449476284333055,0.0008171480132456771,0.13430876393051563
