,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,-2.827827537644794,-8.8098654004217,-10.073665512898716,-7.0204152030891445,-11.34329956547661,-11.48583646165695,-9.133053174973583,-11.61276882316266,-9.1170963056761
Elastic Net,2.827827537644794,0.0,-8.334707728786869,-9.60869523278879,-6.525760866698183,-10.84497575913923,-10.995037768082453,-8.64888982427111,-11.126696743627454,-8.583412495502754
Random Forest,8.8098654004217,8.334707728786869,0.0,-2.9399355208648514,3.342465018309098,-3.3783598362746887,-3.923308688409,-0.4691756812162826,-5.0522131515841835,0.6407847270364367
XGBoost,10.073665512898716,9.60869523278879,2.9399355208648514,0.0,5.558672889035654,-1.0689519031162455,-1.6047969515925802,2.066929129828757,-2.5866920149360495,2.4558152705527325
Transformer,7.0204152030891445,6.525760866698183,-3.342465018309098,-5.558672889035654,0.0,-8.057015226274508,-8.18569271722911,-4.010263291703619,-9.229616713881693,-2.789785620801525
LASSO Regressor,11.34329956547661,10.84497575913923,3.3783598362746887,1.0689519031162455,8.057015226274508,0.0,-1.300303663432492,3.328524542807847,-2.1149489488377005,4.204105015723285
Elastic Net Regressor,11.48583646165695,10.995037768082453,3.923308688409,1.6047969515925802,8.18569271722911,1.300303663432492,0.0,3.931828224853375,-1.339029458089533,4.473383313521315
Random Forest Regressor,9.133053174973583,8.64888982427111,0.4691756812162826,-2.066929129828757,4.010263291703619,-3.328524542807847,-3.931828224853375,0.0,-5.381013454599482,1.0315917224629698
XGBoost Regressor,11.61276882316266,11.126696743627454,5.0522131515841835,2.5866920149360495,9.229616713881693,2.1149489488377005,1.339029458089533,5.381013454599482,0.0,4.928310949849994
Transformer Regressor,9.1170963056761,8.583412495502754,-0.6407847270364367,-2.4558152705527325,2.789785620801525,-4.204105015723285,-4.473383313521315,-1.0315917224629698,-4.928310949849994,0.0
