Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.1532694078749056,0.2162243611786201,0.7088443089365484,0.8676433511731099,-0.3436117657797512,515,-0.01959402055051657,-0.032653111459607476
LASSO_Long,0,0.2173821334746424,0.2428805397874723,0.895016676366325,1.1517052637785543,-0.3411573518975714,503,-0.02151822339916802,-0.0353444635120602
LASSO_Short,0,0.040220547587917536,0.3029950560607775,0.13274324707083582,0.18927400453412657,-0.4224818720445045,821,-0.02606756235877529,-0.0423111887006625
LASSO_LS,0,0.17716158588672487,0.22939461129137986,0.772300556187399,0.9184709992013629,-0.36452681939219517,531,-0.022576842664718905,-0.0374180758862385
LASSO_Long_QNT,0,0.18311700254637509,0.23114004395398374,0.7922340041729452,0.9965990794138937,-0.34872894461321025,503,-0.020801454885648326,-0.03429245974552809
LASSO_Short_QNT,0,0.051905345891145774,0.2833018415326658,0.18321570241244226,0.2505011072868191,-0.4406050899358397,821,-0.02488519007264722,-0.04042052940594923
LASSO_LS_QNT,0,0.1312116566552293,0.1884450341492556,0.6962860934361619,0.8059894330648458,-0.30143931550438774,614,-0.019065045718381326,-0.03136008315998866
LASSO_Long_TPSL,0,0.5561383297367976,0.1611680422801308,3.4506737307769586,6.656599110552151,-0.07896295806399396,42,-0.013630630988543944,-0.016473429814631686
LASSO_Short_TPSL,0,0.4305305635348956,0.17895521185435137,2.405800641812529,5.189446026028599,-0.11255841391292384,88,-0.015107980811021895,-0.01701567259350815
LASSO_LS_TPSL,0,0.12560776620190187,0.15181811927312014,0.8273568846939412,1.1126633375492616,-0.25353832162133194,315,-0.01648531860943614,-0.02294052208742233
ElasticNet_Long,0,0.23406167346540183,0.2456593331918724,0.9527896637356245,1.2330182183201912,-0.3533296318377634,405,-0.021557478380383154,-0.03542438645300539
ElasticNet_Short,0,0.03459052164569959,0.29861199086181645,0.11583768470204016,0.1633768640555517,-0.4112429152623704,823,-0.025351099807231346,-0.0419345185613355
ElasticNet_LS,0,0.19947115181970224,0.23112345134562504,0.8630502472092737,1.0292864435612796,-0.3394691479743434,527,-0.021841006093575865,-0.037403779106441645
ElasticNet_Long_QNT,0,0.1844210893642498,0.2342626591434659,0.7872406555895347,0.9968645606748098,-0.3640147408564441,501,-0.02047946171839135,-0.03439018887077711
ElasticNet_Short_QNT,0,0.04250687147952678,0.27923088820895314,0.15222840049027161,0.20725528496791087,-0.4254974788094547,821,-0.024310766712675107,-0.04013607867589331
ElasticNet_LS_QNT,0,0.141914217884723,0.18996414142084697,0.74705792800298,0.8670641330791635,-0.2827478517638284,614,-0.017761290743703185,-0.031253077937324236
ElasticNet_Long_TPSL,0,0.5747680517585084,0.1634962210121987,3.515482181790759,6.829921814546729,-0.08288517666712009,42,-0.013719438907052163,-0.01653826548485558
ElasticNet_Short_TPSL,0,0.42419208085252325,0.17578161439232215,2.413176613031785,5.161431056771895,-0.10978327461689302,88,-0.014796649876977208,-0.016923894519825924
ElasticNet_LS_TPSL,0,0.15057597090598512,0.15126535647309763,0.9954425416156996,1.3531673663053847,-0.22819455308803202,213,-0.015442887340744223,-0.02273313551339576
RF_Long,0,0.17146179382651455,0.26718782818372605,0.641727562936035,0.8553130641225765,-0.3394267117950988,575,-0.024658053491422804,-0.03909878969571592
RF_Short,0,0.0881597783351256,0.23369246893462534,0.37724698077364227,0.4714008671845423,-0.43531625695452797,729,-0.019865800575008648,-0.03367898289691801
RF_LS,0,0.08330201549138892,0.17169936354461393,0.48516205169126286,0.6714771259281515,-0.36655556691938057,1190,-0.015345579109633961,-0.024868800779844304
RF_Long_QNT,0,0.15153831942626447,0.25173913729221004,0.6019656738966419,0.7879254524908691,-0.360889664115644,551,-0.023664262990978024,-0.03714469024622441
