Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.588572348520922,0.6343741330850412,0.05422919973686486,3.5158819119779334
Elastic Net,0.5891584923971357,0.6340529878022189,0.05469081141548539,3.5555789912447238
Random Forest,0.5997623679759103,0.6449772932196708,0.053726919381352455,4.30170422951492
XGBoost,0.6000730128928978,0.6369365514672174,0.04964583802223955,3.992715558270195
LASSO Regressor,0.45914792593499587,0.5480342743973916,0.030185684294623528,2.011670220269469
Elastic Net Regressor,0.46012634404944924,0.550560151920273,0.028124622455052487,1.8532475749891826
Random Forest Regressor,0.5097274941158865,0.5990421661323313,0.029702657201338866,2.2715784710358666
XGBoost Regressor,0.45838945349169424,0.5985919074253622,0.03653920669362219,2.412049880637643
