,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,0.6474162536186255,-5.901845563803579,-2.709045083629274,-4.06544967502464,-10.636601275089594,-9.686377780890012,-12.510334443583602,-10.42781954515975,-16.834080262367394
Elastic Net,-0.6474162536186255,0.0,-5.95490601935892,-2.8700654227124236,-4.119077196411264,-10.690874683799983,-9.743210054119077,-12.734783535502032,-10.705721746789882,-17.223964403345658
Random Forest,5.901845563803579,5.95490601935892,0.0,4.184010798345673,2.8781754864210556,-8.33422019725438,-6.762890098155334,-10.125341626172679,-7.634390368534606,-13.080025098458876
XGBoost,2.709045083629274,2.8700654227124236,-4.184010798345673,0.0,-0.7472169253363737,-9.929480349640599,-8.836341619355586,-12.18378091731203,-9.595623995698173,-14.814329376499577
Transformer,4.06544967502464,4.119077196411264,-2.8781754864210556,0.7472169253363737,0.0,-9.196430842034214,-7.690836444081908,-10.680222116757967,-8.507717904062794,-15.797608620883764
LASSO Regressor,10.636601275089594,10.690874683799983,8.33422019725438,9.929480349640599,9.196430842034214,0.0,4.60186910601021,0.9447795904701349,2.669481826615977,-4.474105416224932
Elastic Net Regressor,9.686377780890012,9.743210054119077,6.762890098155334,8.836341619355586,7.690836444081908,-4.60186910601021,0.0,-3.3891315308894536,-1.818734731294572,-7.05723223024145
Random Forest Regressor,12.510334443583602,12.734783535502032,10.125341626172679,12.18378091731203,10.680222116757967,-0.9447795904701349,3.3891315308894536,0.0,1.786897519830897,-5.5244771148993
XGBoost Regressor,10.42781954515975,10.705721746789882,7.634390368534606,9.595623995698173,8.507717904062794,-2.669481826615977,1.818734731294572,-1.786897519830897,0.0,-6.398423704937303
Transformer Regressor,16.834080262367394,17.223964403345658,13.080025098458876,14.814329376499577,15.797608620883764,4.474105416224932,7.05723223024145,5.5244771148993,6.398423704937303,0.0
