Strategy,Alpha (Ann. %),Alpha t-stat,R2,Beta_mkt_rf,t_mkt_rf,Beta_smb,t_smb,Beta_hml,t_hml,Beta_rmw,t_rmw,Beta_cma,t_cma
LASSO_LS_net10bps,-16.590394418715093,-2.0198234843245064,0.5464407414552479,-0.11104828624965757,-2.318598388240641,-0.664922393285549,-7.925970291892782,-0.858582051951965,-10.124755537912295,-0.008071575741959259,-0.11567968341510293,0.3083325971937327,2.155377879184922
ElasticNet_LS_net10bps,-16.459466121618192,-2.005335630250149,0.5467120540830362,-0.11202077311777689,-2.3534925229750727,-0.6629409942582541,-7.963022628765056,-0.8608174235190307,-10.148963486891933,-0.006904332444873807,-0.09891533560909221,0.3102421401019714,2.168857193145737
RF_LS_net10bps,-7.7563821969643145,-1.0654186211710357,0.5244178259086437,-0.18880278410957108,-4.46687011248885,-0.4856988712851673,-6.9377510052291465,-0.8320714275883142,-9.590682124606518,0.2895969612933797,3.058353312479251,0.23957478426225998,1.8380312706621331
XGB_LS_net10bps,-8.332630730803455,-1.3750678726452616,0.34176338694716846,-0.09807828214645577,-2.4491349910664786,-0.215045471813729,-3.94677534260417,-0.43559695929922854,-7.796457033319942,0.47414305506427096,5.9187072049164575,-0.13315097172924933,-1.605557616282933
LSTM_LS_net10bps,-0.36158360339461837,-0.059566812654255986,0.3900570152233048,0.04964415680352985,1.2574783562545,-0.13110554088667434,-2.140950087854972,-0.4272034586163877,-7.142274292987692,0.48639936666914696,8.663585505935337,-0.35879641823523845,-4.485743618919627
