,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,1.0,0.5173625793213006,3.594575748167017e-09,0.006747716999414344,4.793993848029032e-05,0.0,0.0,0.0,0.0,0.0
Elastic Net,0.5173625793213006,1.0,2.6022133337022524e-09,0.0041038687942964724,3.8039270495060507e-05,0.0,0.0,0.0,0.0,0.0
Random Forest,3.594575748167017e-09,2.6022133337022524e-09,1.0,2.864104967859049e-05,0.003999825682047264,0.0,1.3526513242823057e-11,0.0,2.2648549702353193e-14,0.0
XGBoost,0.006747716999414344,0.0041038687942964724,2.864104967859049e-05,1.0,0.45493262906573917,0.0,0.0,0.0,0.0,0.0
Transformer,4.793993848029032e-05,3.8039270495060507e-05,0.003999825682047264,0.45493262906573917,1.0,0.0,1.4654943925052066e-14,0.0,0.0,0.0
LASSO Regressor,0.0,0.0,0.0,0.0,0.0,1.0,4.187163272995065e-06,0.34477141364958364,0.007596838410028228,7.673188161527733e-06
Elastic Net Regressor,0.0,0.0,1.3526513242823057e-11,0.0,1.4654943925052066e-14,4.187163272995065e-06,1.0,0.0007011436979171837,0.06895191026796033,1.6984191830715645e-12
Random Forest Regressor,0.0,0.0,0.0,0.0,0.0,0.34477141364958364,0.0007011436979171837,1.0,0.07395405345383144,3.30468306053433e-08
XGBoost Regressor,0.0,0.0,2.2648549702353193e-14,0.0,0.0,0.007596838410028228,0.06895191026796033,0.07395405345383144,1.0,1.5698908839567594e-10
Transformer Regressor,0.0,0.0,0.0,0.0,0.0,7.673188161527733e-06,1.6984191830715645e-12,3.30468306053433e-08,1.5698908839567594e-10,1.0
