,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
49,fed_funds_rank,0.3801344,0.12734109,1.0,2.0
35,oil_wti_backup_rank,0.13481739,0.2477886,2.0,1.0
23,sales_growth_rank,0.066568874,0.07665658,3.0,3.0
56,cf_dvd_paid_rank,0.05235967,0.07449747,4.0,4.0
24,net_profit_margin_rank,0.04367827,0.024808893,5.0,9.0
57,cf_free_cash_flow_rank,0.03207214,0.027845822,6.0,8.0
36,oil_brent_backup_rank,0.029664388,0.028169787,7.0,7.0
14,beta_252d_rank,0.025957165,0.011696133,8.0,16.0
31,pt_upside_rank,0.023462493,0.022467257,9.0,10.0
51,altman_z_score_rank,0.022615308,0.009474514,10.0,20.0
12,vol_126d_rank,0.02095947,0.010849372,11.0,17.0
2,mom_21d_rank,0.018318353,0.008074573,12.0,24.0
29,piotroski_f_score_rank,0.017886672,0.03030353,13.0,5.0
77,px_to_sales_ratio_rank,0.015582374,0.0028578455,14.0,48.0
54,capital_expend_rank,0.015466083,0.010335962,15.0,19.0
26,asset_turnover_rank,0.014821906,0.012688679,16.0,14.0
15,earnings_yield_rank,0.013155049,0.004486746,17.0,32.0
64,free_cash_flow_per_sh_rank,0.012780884,0.01389939,18.0,12.0
5,mom_252d_rank,0.012664924,0.013276,19.0,13.0
78,px_to_free_cash_flow_rank,0.011406945,0.012563753,20.0,15.0
70,sales_rev_turn_rank,0.010795325,0.0021222474,21.0,54.0
28,debt_to_assets_rank,0.010667799,0.002505475,22.0,50.0
52,total_assets_rank,0.010625536,0.0033070694,23.0,45.0
11,vol_63d_rank,0.010611799,0.009208351,24.0,22.0
3,mom_63d_rank,0.010564226,0.003897769,25.0,41.0
4,mom_126d_rank,0.010339018,0.0028751306,26.0,47.0
50,acct_rcv_rank,0.009894643,0.0023427834,27.0,53.0
37,gold_backup_rank,0.0096279085,0.029766206,28.0,6.0
32,best_analyst_rating_rank,0.009248371,0.008488209,29.0,23.0
1,mom_5d_rank,0.009244526,0.003402263,30.0,43.0
76,ebitda_to_revenue_rank,0.008725487,0.0017536508,31.0,59.0
75,eps_trailing_rank,0.007894722,0.0030278203,32.0,46.0
79,beta_mkt_5f_252d_rank,0.0074460693,0.005220921,33.0,30.0
73,tot_common_eqy_rank,0.0072888792,0.003961583,34.0,39.0
72,tax_rate_reported_rank,0.0072735106,0.0026360296,35.0,49.0
34,analyst_count_rank,0.0072528985,0.004366422,36.0,33.0
58,cur_mkt_cap_rank,0.0069164354,0.00642974,37.0,28.0
69,px_volume_rank,0.0067164875,0.004327146,38.0,34.0
6,rsi_14_rank,0.0065521784,0.0018572939,39.0,57.0
30,buy_ratio_rank,0.006521733,0.005582461,40.0,29.0
19,pb_ratio_rank,0.0060198274,0.0020248361,41.0,56.0
67,long_term_borrow_rank,0.006018977,0.004291,42.0,35.0
68,net_income_rank,0.005966841,0.01469672,43.0,11.0
9,vol_5d_rank,0.0058968826,0.0077213366,44.0,25.0
63,ev_to_t12m_ebitda_rank,0.0053428365,0.010445945,45.0,18.0
18,pe_ratio_rank,0.0052084723,0.0033423663,46.0,44.0
8,bb_pct_b_rank,0.005179437,0.0012463107,47.0,66.0
10,vol_21d_rank,0.0047122007,0.0039908914,48.0,38.0
16,book_to_market_rank,0.004703216,0.0017136991,49.0,61.0
27,debt_to_equity_fundamentals_rank,0.004516297,0.00091529504,50.0,68.0
25,oper_margin_rank,0.0044866255,0.0093238,51.0,21.0
62,eqy_sh_out_rank,0.0043477006,0.002503632,52.0,51.0
21,return_on_assets_rank,0.004170375,0.0017204193,53.0,60.0
7,macd_hist_rank,0.004016697,0.0067527257,54.0,26.0
22,return_on_inv_capital_rank,0.00398176,0.0042530117,55.0,36.0
13,vol_ratio_rank,0.003681811,0.0037156001,56.0,42.0
61,eqy_float_rank,0.003434052,0.0017110576,57.0,62.0
53,bs_tot_liab2_rank,0.003202257,0.0023905428,58.0,52.0
0,mom_1d_rank,0.0031559467,0.000461955,59.0,70.0
71,short_term_borrow_rank,0.0031274187,0.0048074815,60.0,31.0
17,quality_score_rank,0.0030187024,0.0013531726,61.0,64.0
74,tot_return_index_gross_dvds_rank,0.0029984221,0.0041880603,62.0,37.0
65,is_eps_rank,0.0029795766,0.001811322,63.0,58.0
59,ebit_rank,0.0026296384,0.0013082122,64.0,65.0
20,return_on_equity_rank,0.00243181,0.0020509502,65.0,55.0
66,is_oper_inc_rank,0.00236263,0.0015747229,66.0,63.0
33,price_target_rank,0.0022524158,0.0039531076,67.0,40.0
60,ebitda_rank,0.0019614126,0.00064894714,68.0,69.0
55,cf_cash_from_oper_rank,0.0018884868,0.0066448255,69.0,27.0
38,silver_backup_rank,0.0003676536,0.0009857045,70.0,67.0
48,yield_30y_backup_rank,0.0,0.0,75.5,75.5
41,usdjpy_backup_rank,0.0,0.0,75.5,75.5
40,eurusd_backup_rank,0.0,0.0,75.5,75.5
47,10y_yield_rank,0.0,0.0,75.5,75.5
42,vix_rank,0.0,0.0,75.5,75.5
43,vxn_backup_rank,0.0,0.0,75.5,75.5
44,vvix_backup_rank,0.0,0.0,75.5,75.5
45,yield_3m_backup_rank,0.0,0.0,75.5,75.5
46,yield_5y_backup_rank,0.0,0.0,75.5,75.5
39,dollar_index_backup_rank,0.0,0.0,75.5,75.5
