,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
2,vol_21d_rank,0.036523327,0.01776742,1.0,2.0
8,beta_cma_5f_252d_rank,0.016400147,0.009297488,2.0,8.0
9,book_to_market_rank,0.015113699,0.010433703,3.0,6.0
1,mom_252d_rank,0.013778421,0.022579249,4.0,1.0
10,quality_score_rank,0.013323377,0.010426547,5.0,7.0
0,mom_21d_rank,0.012639635,0.012956965,6.0,4.0
3,rsi_14_rank,0.010143304,0.008431796,7.0,10.0
7,beta_rmw_5f_252d_rank,0.009787749,0.011038196,8.0,5.0
6,beta_hml_5f_252d_rank,0.0082700215,0.009259722,9.0,9.0
5,beta_smb_5f_252d_rank,0.008104505,0.0077830427,10.0,11.0
4,beta_mkt_5f_252d_rank,0.006802597,0.015727313,11.0,3.0
