,Feature,COVID_Importance,Post_COVID_Importance,Rank_COVID,Rank_Post_COVID
2,vol_21d_rank,0.31502414,0.49094868,1.0,1.0
4,beta_mkt_5f_252d_rank,0.097070545,0.16614023,2.0,2.0
8,beta_cma_5f_252d_rank,0.045613203,0.038467083,3.0,4.0
6,beta_hml_5f_252d_rank,0.031614605,0.035723083,4.0,6.0
7,beta_rmw_5f_252d_rank,0.030562999,0.053630594,5.0,3.0
9,book_to_market_rank,0.02855932,0.02300115,6.0,11.0
10,quality_score_rank,0.015824536,0.032348383,7.0,7.0
5,beta_smb_5f_252d_rank,0.015286408,0.038143657,8.0,5.0
1,mom_252d_rank,0.012279835,0.03202748,9.0,8.0
3,rsi_14_rank,0.009550381,0.029059628,10.0,9.0
0,mom_21d_rank,0.0045613814,0.028010849,11.0,10.0
