Horizon,Features,Model,Accuracy,ROC_AUC,Daily_IC,ICIR,Ann_Return,Sharpe,MaxDD
1d,Benchmark,S&P 500,0.5,0.5,0.0,0.0,0.11424359322305026,0.5443559779228371,-0.3407010697791426
1d,11,LASSO,0.5233324662972567,0.5053380586218814,0.013684172084969843,0.9736070353514654,-0.012944780086890787,-0.05241052200624018,-0.403332452311273
1d,11,Elastic Net,0.5234007782305633,0.5053074653231355,0.013935143319071301,0.9946394417735196,-0.017458043275991115,-0.0705794369193913,-0.3993558423344624
1d,11,Random Forest,0.5182248355915682,0.5043873935250339,0.010732402485755903,1.2510204421241622,-0.07979755309258428,-0.28258936019820685,-0.5128107446445681
1d,11,XGBoost,0.519853812462724,0.5047633469656048,0.015055771485648429,1.3060595426533168,-0.041091448102183604,-0.1300409392878696,-0.49044098940754177
1d,11,Transformer,0.5185808458593772,0.49851054046689597,0.010929821680696929,0.6491567667439916,0.0418958808049799,0.15571508145383928,-0.5468120213182595
1d,11,LASSO Regressor,0.47819667005598954,0.4964612467082846,,0.0,0.07681502247483096,0.32257259177250885,-0.427487868111607
1d,11,Elastic Net Regressor,0.493476210369226,0.49891731050877564,0.013437888122232703,1.0980610712195435,0.03640196299995798,0.15995607952701474,-0.39487167593344674
1d,11,Random Forest Regressor,0.4997845546718794,0.5036778722000104,0.0023246053958799894,0.2968010024557351,-0.014771603489846415,-0.05409242501201527,-0.44150998224985744
1d,11,XGBoost Regressor,0.4987375429248542,0.5025657100467481,0.00627053277879823,0.754081761199164,-0.03493520308933409,-0.1339366669553857,-0.406814632786154
1d,11,Transformer Regressor,0.48722960954475353,0.49830190024873117,-0.00579217284314033,-0.45843403598972715,0.023582977492072502,0.10115165141258403,-0.427487868111607
1d,50,LASSO,0.5234529998116225,0.5072571841612026,0.019144434844283114,1.4691464483043795,-0.20852422396122247,-0.6881535296740284,-0.7599745329910438
1d,50,Elastic Net,0.522776978398043,0.5081249648138156,0.02080853392592373,1.613335023519588,-0.20308631682369002,-0.6800658399317966,-0.7534735730657155
1d,50,Random Forest,0.5174863760308993,0.49918931400622546,0.00532262879653232,0.5588727732580678,-0.15547742087146113,-0.6654067566445185,-0.6192076174406329
1d,50,XGBoost,0.5203120386588056,0.5002101898532472,0.010510285099556878,0.9529396176499557,-0.17464861061889997,-0.6620197925995145,-0.6648208051371798
1d,50,Transformer,0.5221490533696194,0.49614381753027237,0.013881466657609493,1.0609937237689795,0.06728796256587298,0.20902814567177924,-0.4715268120587255
1d,50,LASSO Regressor,0.4866712892636844,0.5013461412088175,0.04036110189600039,0.0,0.07799111190620436,0.32618471360930934,-0.43103171886254016
1d,50,Elastic Net Regressor,0.4981569732410417,0.49998399384827363,0.00015211063998660522,0.009225065341610264,0.03964676440432876,0.17636361935867206,-0.43103171886254016
1d,50,Random Forest Regressor,0.4988009303978506,0.4965971943144224,0.007754330521304902,0.6841655177828143,-0.10212967133218029,-0.36504824256184554,-0.5225537221322392
1d,50,XGBoost Regressor,0.49601267606950994,0.5004267881526016,0.004160622872584401,0.294606034611909,-0.0337515656775502,-0.11084404258100723,-0.5452343165301352
1d,50,Transformer Regressor,0.4918737149247091,0.49379304027853066,0.0011144901971295986,0.1174628579491811,-0.006650748889307827,-0.027143890974647995,-0.4419480036844945
1d,80,LASSO,0.5207499083796479,0.5096496696851336,0.021119228832641772,2.0088715623151625,-0.12349424256567723,-0.44573295513997263,-0.622532237622721
1d,80,Elastic Net,0.5209852634127152,0.5098623240931909,0.021681618102653392,2.0003712708846733,-0.12551988874825964,-0.44380969083940186,-0.6365936361030092
1d,80,Random Forest,0.517120397548273,0.4978761839200593,0.01393724102387962,1.318807599155285,-0.12068605941305516,-0.43661316051978133,-0.5625746753074856
1d,80,XGBoost,0.5142709205407786,0.49799354049037414,0.013389721190302493,1.1163095881306058,-0.11276357266415316,-0.4571342647767771,-0.5233510310204129
1d,80,Transformer,0.5232766127703641,0.512179761822322,0.017922592556691704,1.3176063636125803,0.013294325812280575,0.0377190011038387,-0.6054497378584408
1d,80,LASSO Regressor,0.47814728517969357,0.48900334353471486,,0.0,0.06977878555912782,0.29794710515422174,-0.41944922703098414
1d,80,Elastic Net Regressor,0.4949566778628418,0.5019565760873121,0.013045065052332477,1.0621125602785764,0.008209621773019584,0.029905202940550372,-0.3850788704066055
