Strategy,TxCost (bps),Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,0,0.15878265545202444,0.21709623802339295,0.7313929384391958,0.8958885951318152,-0.34358510549940635,510,-0.019592288814157515,-0.03266767342954213
LASSO_Long,0,0.09475483896012754,0.26792297174178986,0.3536644817878748,0.4383918163653322,-0.4763893236209745,682,-0.02274830005636583,-0.039107803788306916
LASSO_Short,0,0.09849612373866941,0.26785002744876313,0.36772863037137704,0.470997694820363,-0.44012154421977423,798,-0.02391714175830786,-0.03939864456186293
LASSO_LS,0,-0.0037412847785419133,0.09660636015356303,-0.038727106296054026,-0.05969589606044562,-0.18780687497205575,1233,-0.009664162824290654,-0.013430887289337338
LASSO_LS_StopLoss,0,-0.020814470848918132,0.052319847440021175,-0.3978312603602215,-0.2675218646939101,-0.1325016710051404,1233,-0.0040600723798672675,-0.00930159930654811
ElasticNet_Long,0,0.08949800234002385,0.2710011662695228,0.33024950988961455,0.4091081810734884,-0.4870066384643729,682,-0.023311908353510057,-0.03956086282574017
ElasticNet_Short,0,0.0989735494172484,0.2670391612681695,0.3706330897207092,0.4758797411695336,-0.4350400799772025,798,-0.023900760703853732,-0.0392913505758102
ElasticNet_LS,0,-0.009475547077224568,0.09790712557466805,-0.09678097504760388,-0.14793507386704305,-0.18045366358342363,1233,-0.009573874000422504,-0.013733070981709321
ElasticNet_LS_StopLoss,0,-0.022365752461800233,0.056105765584689805,-0.39863554536190876,-0.2699748940664125,-0.1397578312184354,1233,-0.004522743750937525,-0.009865565863958778
RF_Long,0,0.10814328436757228,0.25666490021342986,0.42134037134663005,0.5536419487635962,-0.398270786123126,795,-0.02282679483555188,-0.03733087137986007
RF_Short,0,0.07834849956204583,0.2797448049892618,0.2800713298860127,0.34919619960416387,-0.5028342651099488,798,-0.02433172834043988,-0.04119361048990945
RF_LS,0,0.029794784805526463,0.1026330707417877,0.29030393995017956,0.4386389058785338,-0.30319257516643977,1227,-0.009494507554380282,-0.013572301226312793
RF_LS_StopLoss,0,0.022946670241363452,0.0554976421734044,0.41347108350415585,0.18450411990886573,-0.13421652059509714,1227,0.0,-0.000305441969602092
XGB_Long,0,0.131267528474423,0.2499516769043006,0.5251716255725766,0.6795449636220959,-0.39780750632232703,700,-0.02310101274886452,-0.03656560131991336
XGB_Short,0,0.0625917418903934,0.2569430333224998,0.24360163060670312,0.2997702714192235,-0.4637197912461032,698,-0.023258179062637226,-0.038517707945321986
XGB_LS,0,0.06867578658402963,0.10261582509986192,0.669251419234771,0.9977663893233436,-0.1278727332049146,755,-0.010076847207546846,-0.01382617046006987
XGB_LS_StopLoss,0,0.023997219502289426,0.0490996338781099,0.4887453857978381,0.24203572482318084,-0.0812792624079231,1227,0.0,-0.0002961344337652927
LSTM_Long,0,0.13494294581611604,0.2850869484739669,0.4733396128389882,0.5890692184919288,-0.507478794059948,504,-0.022902309818294785,-0.04121814575873405
LSTM_Short,0,0.10992184829326068,0.2561466036381768,0.4291364661173966,0.5636916108006625,-0.4099754069199623,798,-0.02388930647518792,-0.03737538995260149
LSTM_LS,0,0.025021097522855314,0.1078508103404754,0.23199730668565158,0.33849275762590525,-0.19198423206298154,882,-0.009581636117514052,-0.015164955855705247
