Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.5214414915023151,0.5200518099036743,0.025084899202593287,2.2713451352347485
Elastic Net,0.5214414915023151,0.5200580535372203,0.025101656883975754,2.2732803055315496
Random Forest,0.5417021721477582,0.5380197786065842,0.012192051933264907,1.0608900716616623
XGBoost,0.539281832125789,0.5425815278180506,0.018325979299931818,1.9996026985604898
