,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,-0.22300109619796704,-1.895275093180008,-2.7745011880534474,-9.133517029763386,-19.777852404350863,-14.302112520290835,-5.475326756474163,-7.874114289742555,-11.747950194507657
Elastic Net,0.22300109619796704,0.0,-1.8568197540888371,-2.7325585215204624,-9.034623268488764,-19.719131810457977,-14.23690128258215,-5.446761739266665,-7.84113219505158,-11.772667976907048
Random Forest,1.895275093180008,1.8568197540888371,0.0,-0.6054846649070091,-4.292171999073722,-19.550581738472964,-13.615229460391168,-4.771293725530929,-7.229712803985687,-11.517192367740481
XGBoost,2.7745011880534474,2.7325585215204624,0.6054846649070091,0.0,-4.222492255881543,-19.833035072622536,-13.861089872842605,-4.295786810494057,-6.853186662937838,-10.948460266492566
Transformer,9.133517029763386,9.034623268488764,4.292171999073722,4.222492255881543,0.0,-17.369435331277487,-10.934341193506917,-1.6471078074617593,-3.9986146139501364,-8.862086964621328
LASSO Regressor,19.777852404350863,19.719131810457977,19.550581738472964,19.833035072622536,17.369435331277487,0.0,14.183557936410022,17.87312323726914,17.259167965337067,11.728321871419766
Elastic Net Regressor,14.302112520290835,14.23690128258215,13.615229460391168,13.861089872842605,10.934341193506917,-14.183557936410022,0.0,9.807566514668972,8.096751412141577,0.5755052751392381
Random Forest Regressor,5.475326756474163,5.446761739266665,4.771293725530929,4.295786810494057,1.6471078074617593,-17.87312323726914,-9.807566514668972,0.0,-3.3874135717026137,-9.247355221855825
XGBoost Regressor,7.874114289742555,7.84113219505158,7.229712803985687,6.853186662937838,3.9986146139501364,-17.259167965337067,-8.096751412141577,3.3874135717026137,0.0,-6.669573197554705
Transformer Regressor,11.747950194507657,11.772667976907048,11.517192367740481,10.948460266492566,8.862086964621328,-11.728321871419766,-0.5755052751392381,9.247355221855825,6.669573197554705,0.0
