Model,Accuracy,ROC_AUC,Daily_IC,ICIR
LASSO,0.5186017693699679,0.5362162563043575,0.06554313226245001,12.423120388510505
Elastic Net,0.5183493456653059,0.536292448340456,0.06553693161635701,12.42323273533135
Random Forest,0.5160753468367266,0.5346334155151997,0.060702749804359066,12.106028649939772
XGBoost,0.5037776136234494,0.5330231791388471,0.06093313725135879,12.024137118613844
