,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,0.0,8.189273441499255,6.898128166613684,8.433336907793086,-0.9333898634898091,-7.1546070626842075,-7.1546070626842075,7.247443171540801,7.858669748520063,2.197645709561613
Elastic Net,-8.189273441499255,0.0,3.1719517520313736,4.609247244047162,-6.793046149384483,-11.086686423250676,-11.086686423250676,3.4743282476535886,3.8623236593019032,-2.333838630045905
Random Forest,-6.898128166613684,-3.1719517520313736,0.0,1.3711232191679936,-7.048594064995599,-10.184003410082125,-10.184003410082125,0.4127470770959355,0.39652664713770586,-4.522717343699384
XGBoost,-8.433336907793086,-4.609247244047162,-1.3711232191679936,0.0,-8.505620815166283,-11.731896256331172,-11.731896256331172,-0.9671816486961933,-1.1852055566753736,-5.838463271631751
Transformer,0.9333898634898091,6.793046149384483,7.048594064995599,8.505620815166283,0.0,-7.703323950188865,-7.703323950188865,7.524747652263884,8.16867329878678,2.9049423560016763
LASSO Regressor,7.1546070626842075,11.086686423250676,10.184003410082125,11.731896256331172,7.703323950188865,0.0,0.0,10.886157950765284,11.78475450183449,7.875564861536087
Elastic Net Regressor,7.1546070626842075,11.086686423250676,10.184003410082125,11.731896256331172,7.703323950188865,0.0,0.0,10.886157950765284,11.78475450183449,7.875564861536087
Random Forest Regressor,-7.247443171540801,-3.4743282476535886,-0.4127470770959355,0.9671816486961933,-7.524747652263884,-10.886157950765284,-10.886157950765284,0.0,0.00898052036446085,-5.175987805480117
XGBoost Regressor,-7.858669748520063,-3.8623236593019032,-0.39652664713770586,1.1852055566753736,-8.16867329878678,-11.78475450183449,-11.78475450183449,-0.00898052036446085,0.0,-5.3874446523245805
Transformer Regressor,-2.197645709561613,2.333838630045905,4.522717343699384,5.838463271631751,-2.9049423560016763,-7.875564861536087,-7.875564861536087,5.175987805480117,5.3874446523245805,0.0
