,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,1.0,2.220446049250313e-16,5.269118474870993e-12,0.0,0.35061871211444506,8.391065620116933e-13,8.391065620116933e-13,4.247713292215849e-13,3.774758283725532e-15,0.02797436318314439
Elastic Net,2.220446049250313e-16,1.0,0.0015141816100925354,4.041295097678699e-06,1.0978995490518173e-11,0.0,0.0,0.0005121341104905586,0.00011231363176045228,0.019604173205461484
Random Forest,5.269118474870993e-12,0.0015141816100925354,1.0,0.17033654793912767,1.8074430840897548e-12,0.0,0.0,0.6797919294790877,0.6917165538961736,6.105074446427494e-06
XGBoost,0.0,4.041295097678699e-06,0.17033654793912767,1.0,0.0,0.0,0.0,0.33345323442511443,0.2359361834743503,5.268449454476354e-09
Transformer,0.35061871211444506,1.0978995490518173e-11,1.8074430840897548e-12,0.0,1.0,1.3322676295501878e-14,1.3322676295501878e-14,5.284661597215745e-14,2.220446049250313e-16,0.003673207426989844
LASSO Regressor,8.391065620116933e-13,0.0,0.0,0.0,1.3322676295501878e-14,1.0,1.0,0.0,0.0,3.3306690738754696e-15
Elastic Net Regressor,8.391065620116933e-13,0.0,0.0,0.0,1.3322676295501878e-14,1.0,1.0,0.0,0.0,3.3306690738754696e-15
Random Forest Regressor,4.247713292215849e-13,0.0005121341104905586,0.6797919294790877,0.33345323442511443,5.284661597215745e-14,0.0,0.0,1.0,0.9928346777669201,2.267082650497798e-07
XGBoost Regressor,3.774758283725532e-15,0.00011231363176045228,0.6917165538961736,0.2359361834743503,2.220446049250313e-16,0.0,0.0,0.9928346777669201,1.0,7.146647318378996e-08
Transformer Regressor,0.02797436318314439,0.019604173205461484,6.105074446427494e-06,5.268449454476354e-09,0.003673207426989844,3.3306690738754696e-15,3.3306690738754696e-15,2.267082650497798e-07,7.146647318378996e-08,1.0
