,Coefficient,Std_Error,t_Statistic,p_Value
const,0.00010458842927228804,0.00010014499754683258,1.044369981869314,0.29631424628304515
beta_mkt_252d,0.00030199969943691464,0.0002823305101419827,1.069667246678513,0.28476911425836815
