Strategy,Alpha (Ann. %),Alpha t-stat,R2,Beta_mkt_rf,t_mkt_rf,Beta_smb,t_smb,Beta_hml,t_hml,Beta_rmw,t_rmw,Beta_cma,t_cma
LASSO_LS_net10bps,-20.56240014780751,-2.5795857442048287,0.5263576322938404,-0.11315097615748576,-2.3002842735613926,-0.6010164342180236,-7.002714711455871,-0.8368987543106218,-9.447675410513558,0.04678749103184437,0.6788365490274605,0.3344023073509383,2.3412816016085327
ElasticNet_LS_net10bps,-20.527203783179296,-2.574987599545483,0.5260785299493305,-0.11277699216011819,-2.2929198959059853,-0.6009701120145691,-7.001382466111507,-0.8364298623070278,-9.445108087517362,0.04703766531841664,0.6835773734703955,0.3345906871214483,2.3436213366414145
RF_LS_net10bps,-36.1179537505487,-5.1120743514474505,0.3997994794979195,-0.14663533736800985,-3.6948011624241204,-0.2014741812597585,-2.7066900456316785,-0.7424402596050511,-8.427624586201397,0.1934929427286983,2.445151604667917,0.3029977373112447,2.5641662723868532
XGB_LS_net10bps,-42.317990330411526,-6.389084615695369,0.3992256716825223,-0.173316440587299,-3.882093499668666,-0.336929629311371,-4.511653293639326,-0.6128061783906888,-7.315513516922935,0.2203992311272276,2.7321174611752133,0.2615398753827428,2.4336895315788794
LSTM_LS_net10bps,-35.922112692214995,-6.233646799526043,0.43893997288367714,-0.042886485291193106,-1.3319165011791094,-0.19243016138627053,-4.019981237278671,-0.5492847700885533,-9.100167869847741,0.36939056890179217,6.252754628568744,-0.09636922979035024,-1.1326948656922018
