Model,Observations (Days),Mean IC,IC Volatility,ICIR,NW_t_Stat,p_Value
LASSO,1253,0.021119228832641772,0.16682179286634616,2.009673667183346,4.811044052577535,1.5014391659373106e-06
Elastic Net,1253,0.021681618102653392,0.17199189487461414,2.0011699817453628,4.847967433608774,1.2473287060785376e-06
Random Forest,1253,0.013937241023879617,0.16769583215957645,1.3193341743805624,3.1831128621206557,0.0014570080941843676
XGBoost,1253,0.013389721190302493,0.19033286210582304,1.1167553096848535,2.8141192124862955,0.004891108626377662
Transformer,1253,0.017922592556691704,0.2158450272125425,1.3181324592069574,2.9540998958349216,0.00313582481065129
Elastic Net Regressor,1003,0.013045065052332477,0.19487645423925704,1.0626424243974826,2.328808090876452,0.019869234597279576
Random Forest Regressor,1253,0.008902096626509027,0.16999263221801914,0.8313089872249187,2.111168712693206,0.034757813041764306
XGBoost Regressor,1253,0.009355328536830144,0.1829595498345414,0.8117162322756883,2.1333852193780887,0.03289313854768197
Transformer Regressor,1253,0.006706981163603585,0.13687440211691687,0.7778665959058763,1.785860796494381,0.07412179994818353
