Model,Observations (Days),Mean IC,IC Volatility,ICIR,NW_t_Stat,p_Value
LASSO,1233,0.00856140246733596,0.21396603000968623,0.6351851778008027,1.5691592941320913,0.11661082645221732
Elastic Net,1233,0.008459070762642537,0.21202921603178865,0.6333258589408983,1.5613309675778053,0.11844568052656627
Random Forest,1233,0.013412117546012927,0.1612966684538635,1.3199948116101143,3.052670418712917,0.0022681490037690217
XGBoost,1233,0.012046409924412683,0.16761302648263152,1.1409067249712477,2.72125657450504,0.006503426304518003
Transformer,1233,0.013680959321626893,0.22496455570660032,0.9653898396960772,2.2869977732699125,0.022195953066129318
LASSO Regressor,983,0.003904758271969696,0.2271254092562477,0.2729158138127589,0.5933170180419632,0.5529690117484557
Elastic Net Regressor,983,0.002739674350180937,0.23696445977021308,0.18353377576308755,0.4041941568903342,0.6860699501723703
Random Forest Regressor,1233,0.003024867626272391,0.16467435105404543,0.2915954100968808,0.6882831679637658,0.4912744792402369
XGBoost Regressor,1233,0.0033068212165591904,0.19830660961065272,0.2647121017200134,0.6302183513214261,0.5285517342224071
Transformer Regressor,983,-0.0011587750853047638,0.2308156386846066,-0.07969557137408625,-0.1732472805197224,0.8624570610069381
