Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.2414409439832422,0.26055246145844996,0.9266500213882821,1.0151710075828888,-0.34358062408884593,109,-0.022611997727738354,-0.04184584388158451
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.16929732710735895,0.24804739021827688,0.6825200900456183,0.8166221882389033,-0.35352244210264405,162,-0.022359069780837914,-0.039092591271320594
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.08850922691572909,0.3978150537887246,0.2224883801474627,0.26960561656355414,-0.5070844021812951,276,-0.03383276679353391,-0.06321294971617436
LASSO_LS,COVID_Pandemic_OOS (2020-2021),-0.12724327096387478,0.2751740813296922,-0.46241008727643135,-0.5775334595666771,-0.509225640258531,467,-0.028547352103074013,-0.04460523881036341
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.16088190382595036,0.25199686979510194,0.6384281834800688,0.7676981819090194,-0.35533169209669163,190,-0.02277760144202318,-0.03967594238680922
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.10634740437686611,0.39690397372925323,0.26794240273696696,0.32801580980554035,-0.5015919517839758,256,-0.03284163575236429,-0.06268793656073536
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),-0.152551692081343,0.2752968113853606,-0.5541353396491072,-0.6934008480778456,-0.534411217648082,467,-0.029325643563018405,-0.04480377821663749
RF_Long,COVID_Pandemic_OOS (2020-2021),0.16948401238148045,0.24233218341172977,0.699387138742203,0.8280189175388978,-0.33412206811099976,142,-0.020937329061997863,-0.038032770569868805
RF_Short,COVID_Pandemic_OOS (2020-2021),0.21272493780846055,0.5038769868201838,0.42217633147110706,0.5686805142610533,-0.6203690026314137,230,-0.04259735157838624,-0.07475162793596855
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.14758201472256174,0.4091376818931421,-0.360714794197585,-0.43376538325338876,-0.717687919806996,467,-0.040349079846559506,-0.0656857572824272
XGB_Long,COVID_Pandemic_OOS (2020-2021),0.11782754688419134,0.24038488064468871,0.4901620541532787,0.5678422020258007,-0.34511154348622874,296,-0.020934369561094075,-0.03859994021096532
XGB_Short,COVID_Pandemic_OOS (2020-2021),0.1559483668617132,0.4890103344782032,0.31890607593828746,0.40971624565257425,-0.6378516891439197,276,-0.039612999194696547,-0.07399216842573915
XGB_LS,COVID_Pandemic_OOS (2020-2021),-0.1667977642277574,0.39119221580444347,-0.42638313721237087,-0.49785983073807905,-0.7082719167719803,467,-0.04110914237922331,-0.06357690930824576
LSTM_Long,COVID_Pandemic_OOS (2020-2021),0.12572084542022374,0.2182866182287156,0.5759438963340227,0.6465704273068779,-0.3351896203925872,279,-0.01840272443854435,-0.035440056318149935
LSTM_Short,COVID_Pandemic_OOS (2020-2021),0.15941103700015047,0.4719520556770516,0.3377695574849505,0.4451732465569156,-0.578056942895915,257,-0.041056896876351126,-0.07167264773706077
LSTM_LS,COVID_Pandemic_OOS (2020-2021),-0.13920944250402997,0.3915558302913951,-0.3555289737364671,-0.43271912278655666,-0.6627136951604862,467,-0.03759457574378454,-0.062895914079889
SP500,Post_COVID_OOS (2022-2024),0.10132446734677672,0.1819519517195509,0.5568748583854257,0.7980845925148691,-0.2603329211936155,510,-0.01790199772773836,-0.02643147141194888
LASSO_Long,Post_COVID_OOS (2022-2024),-0.03551744730462466,0.15936622799582933,-0.2228668379197264,-0.3258501490007501,-0.27995809253226006,758,-0.016613185386144882,-0.023092020177541018
LASSO_Short,Post_COVID_OOS (2022-2024),-0.02059184540889255,0.22782438827658097,-0.09038472818763307,-0.13914198662488406,-0.33089410636902605,698,-0.022961216770576758,-0.031153063106881262
LASSO_LS,Post_COVID_OOS (2022-2024),-0.23989499483711763,0.13547360031298636,-1.7707877718085678,-2.4195358004913503,-0.5156796266056481,759,-0.01550479633227938,-0.021674558373936993
ElasticNet_Long,Post_COVID_OOS (2022-2024),-0.04664105028403838,0.15919646171425172,-0.29297793293770763,-0.43247949254506923,-0.2915938585128532,759,-0.017255013219588403,-0.022840643547741697
ElasticNet_Short,Post_COVID_OOS (2022-2024),-0.03269858860841766,0.23642018860870578,-0.13830709128879184,-0.21004348263070252,-0.34185870187769746,698,-0.024436773899257757,-0.032708589606598434
ElasticNet_LS,Post_COVID_OOS (2022-2024),-0.2333436167703956,0.14748071307593308,-1.5821975084311837,-2.213656819060872,-0.5073222080702732,759,-0.017005135260213817,-0.023056799239625798
RF_Long,Post_COVID_OOS (2022-2024),-0.05315629586839626,0.14909165186782763,-0.3565343545560837,-0.5101051813338868,-0.2966557173149587,758,-0.014333553042821684,-0.021793156725900625
