,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,1.0,0.00468650463989273,0.0,0.0,2.212008354263162e-12,0.0,0.0,0.0,0.0,0.0
Elastic Net,0.00468650463989273,1.0,0.0,0.0,6.765721316526196e-11,0.0,0.0,0.0,0.0,0.0
Random Forest,0.0,0.0,1.0,0.0032828055403997247,0.0008303782105971713,0.000729195947966943,8.734112583752562e-05,0.6389440666898469,4.367199366583918e-07,0.5216625572325309
XGBoost,0.0,0.0,0.0032828055403997247,1.0,2.718336089557738e-08,0.2850913424940371,0.10853849707348662,0.03874083241482529,0.009690216265472174,0.014056539389188272
Transformer,2.212008354263162e-12,6.765721316526196e-11,0.0008303782105971713,2.718336089557738e-08,1.0,8.881784197001252e-16,2.220446049250313e-16,6.065107746966447e-05,0.0,0.005274295211274982
LASSO Regressor,0.0,0.0,0.000729195947966943,0.2850913424940371,8.881784197001252e-16,1.0,0.19349691296314875,0.0008730731207953202,0.034434298631400795,2.62117227485259e-05
Elastic Net Regressor,0.0,0.0,8.734112583752562e-05,0.10853849707348662,2.220446049250313e-16,0.19349691296314875,1.0,8.430229607747641e-05,0.18056108313545827,7.699158041329923e-06
Random Forest Regressor,0.0,0.0,0.6389440666898469,0.03874083241482529,6.065107746966447e-05,0.0008730731207953202,8.430229607747641e-05,1.0,7.406765778483759e-08,0.302263419722673
XGBoost Regressor,0.0,0.0,4.367199366583918e-07,0.009690216265472174,0.0,0.034434298631400795,0.18056108313545827,7.406765778483759e-08,1.0,8.294353728288684e-07
Transformer Regressor,0.0,0.0,0.5216625572325309,0.014056539389188272,0.005274295211274982,2.62117227485259e-05,7.699158041329923e-06,0.302263419722673,8.294353728288684e-07,1.0
