Strategy,Regime,Ann. Excess Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Max DD Duration (Days),VaR 95% Daily,ES 95% Daily
SP500,COVID_Pandemic_OOS (2020-2021),0.24319186748095484,0.2603134945134295,0.9342268941359421,1.0225330015431877,-0.34358510549940635,109,-0.022557288814157514,-0.04184613496800367
LASSO_Long,COVID_Pandemic_OOS (2020-2021),0.1987978120305922,0.35464273893743475,0.5605579649712317,0.6622485736591904,-0.477283002844527,229,-0.029308994939996863,-0.05462930832379069
LASSO_Short,COVID_Pandemic_OOS (2020-2021),0.21460314821594667,0.3360696264301488,0.6385675209495654,0.7671979497538551,-0.4405870156617437,216,-0.029359142985156746,-0.05312996456432399
LASSO_LS,COVID_Pandemic_OOS (2020-2021),-0.02862199546758756,0.10206219557422358,-0.28043679940994937,-0.40600182702724785,-0.2006567595671897,473,-0.011313014650761599,-0.014883874407930799
ElasticNet_Long,COVID_Pandemic_OOS (2020-2021),0.19096436573406053,0.3605108335973949,0.5297049296091957,0.627575307980137,-0.4878288587803167,262,-0.03134594058857215,-0.05543248536219959
ElasticNet_Short,COVID_Pandemic_OOS (2020-2021),0.2147998512056201,0.3342193343695665,0.6426912782014667,0.7727598802551331,-0.4356350384503469,216,-0.028730775134403034,-0.052762247057556104
ElasticNet_LS,COVID_Pandemic_OOS (2020-2021),-0.03777877302140445,0.10497528543952561,-0.3598825462891275,-0.512175065572054,-0.1906968050947696,473,-0.010946427106061422,-0.015517477728456826
RF_Long,COVID_Pandemic_OOS (2020-2021),0.18249591525141406,0.31760349842503394,0.5746029755855784,0.6997204800583136,-0.3999905659862777,232,-0.02923203863187447,-0.04827686903089014
RF_Short,COVID_Pandemic_OOS (2020-2021),0.1563145495674026,0.3604381957211858,0.43367920332260934,0.5100760687781448,-0.503202003376744,253,-0.029059176520228054,-0.05744784889231262
RF_LS,COVID_Pandemic_OOS (2020-2021),-0.00104061039042373,0.11242008285196416,-0.009256445681453692,-0.014015538640480645,-0.25714952727358226,467,-0.009565965551771005,-0.014321302158232702
