,LASSO,Elastic Net,Random Forest,XGBoost,Transformer,LASSO Regressor,Elastic Net Regressor,Random Forest Regressor,XGBoost Regressor,Transformer Regressor
LASSO,1.0,4.0002375990333405e-05,0.0,2.491153572314886e-08,0.1698724518649788,0.002251244625211868,1.3387269293119175e-08,0.0,1.164639495954134e-10,6.175060462965121e-13
Elastic Net,4.0002375990333405e-05,1.0,0.0,4.150741150787951e-07,0.8165726093956107,3.254946406605619e-05,1.9197532452608357e-11,0.0,2.192240833309711e-08,2.220446049250313e-16
Random Forest,0.0,0.0,1.0,7.064152708102789e-05,0.0,0.0,0.0,0.01962291210157563,1.1886601924970819e-08,0.0
XGBoost,2.491153572314886e-08,4.150741150787951e-07,7.064152708102789e-05,1.0,1.0343978162907774e-06,5.969225114199617e-12,2.886579864025407e-15,7.722459782755209e-09,0.15036285197894306,4.440892098500626e-16
Transformer,0.1698724518649788,0.8165726093956107,0.0,1.0343978162907774e-06,1.0,3.3761703917001284e-06,4.271472064942827e-12,0.0,2.95233787639404e-07,0.0
LASSO Regressor,0.002251244625211868,3.254946406605619e-05,0.0,5.969225114199617e-12,3.3761703917001284e-06,1.0,0.0004002749435696451,0.0,4.440892098500626e-16,3.026817311457819e-06
Elastic Net Regressor,1.3387269293119175e-08,1.9197532452608357e-11,0.0,2.886579864025407e-15,4.271472064942827e-12,0.0004002749435696451,1.0,0.0,0.0,0.2347669249448463
Random Forest Regressor,0.0,0.0,0.01962291210157563,7.722459782755209e-09,0.0,0.0,0.0,1.0,4.440892098500626e-16,0.0
XGBoost Regressor,1.164639495954134e-10,2.192240833309711e-08,1.1886601924970819e-08,0.15036285197894306,2.95233787639404e-07,4.440892098500626e-16,0.0,4.440892098500626e-16,1.0,0.0
Transformer Regressor,6.175060462965121e-13,2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,3.026817311457819e-06,0.2347669249448463,0.0,0.0,1.0
