Model,Observations (Days),Mean IC,IC Volatility,ICIR,NW_t_Stat,p_Value
LASSO,1233,0.021864079259750004,0.2079805316731547,1.66881724653761,3.91170979356752,9.164499680189086e-05
Elastic Net,1233,0.01869098702937204,0.1761016196256175,1.6848807027391561,3.9492669620434495,7.839088631091085e-05
Random Forest,1233,0.017491454462831908,0.15392805671093548,1.8038831737233145,4.209720207083565,2.5568712957951333e-05
XGBoost,1233,0.016223471988708844,0.15415570267976458,1.6706461663625676,4.130107215710019,3.6259409543878776e-05
Transformer,1233,0.0219889209910607,0.21142635537413373,1.6509923686111665,3.8499102916407013,0.00011816109444931577
LASSO Regressor,253,-0.0025040837757870625,0.1636608227947113,-0.24288706923273334,-0.23725840601309872,0.8124563280862367
Elastic Net Regressor,499,0.02084231522675399,0.1606656094812337,2.0593174736593576,3.177543157475782,0.001485285825310795
Random Forest Regressor,1233,0.011196385489385004,0.181149514176964,0.9811624962610673,2.446293134653251,0.014433359787062044
XGBoost Regressor,1233,0.011753203565440329,0.16279617116191378,1.1460731608317225,2.873772262993644,0.004056013153615907
Transformer Regressor,1233,0.005539321803574929,0.17275392281064725,0.5090130870237041,1.1335784403054978,0.2569714208452637
